2021-06-02T11:22:31,2021-06-02T11:49:07,089,Tilkanvierto,021,Töölönlahdenkatu,3959,1592
2021-06-02T11:22:31,2021-06-02T11:28:22,031,Marian sairaala,072,Eteläinen Hesperiankatu,1266,347
2021-06-02T11:22:30,2021-06-02T11:40:20,150,Töölönlahden puisto,130,Teollisuuskatu,3138,1067
2021-06-02T11:22:30,2021-06-02T11:29:17,110,Maistraatintori,105,Tilkantori,2174,404
2021-06-02T11:22:12,2021-06-02T11:22:29,304,Aurinkolahdenaukio,304,Aurinkolahdenaukio,0,15
2021-06-02T11:22:06,2021-06-02T11:35:25,081,Stenbäckinkatu,080,Jäähalli,1033,795
2021-06-02T11:22:02,2021-06-02T11:25:42,627,Piispansilta,641,Komeetankatu,551,215
2021-06-02T11:22:00,2021-06-02T11:37:41,651,Suurpellonaukio,641,Komeetankatu,2719,938
2021-06-02T11:21:48,2021-06-02T11:29:08,402,Bermudankuja,006,Hietalahdentori,447,435
2021-06-02T11:21:45,2021-06-02T11:38:14,063,Jätkäsaarenlaituri,143,Kuikkarinne,3887,985
2021-06-02T11:21:44,2021-06-02T11:29:36,013,Merisotilaantori,012,Kanavaranta,1133,467
2021-06-02T11:21:39,2021-06-02T11:41:50,038,Töölöntori,125,Arielinkatu,3967,1207
2021-06-02T11:21:35,2021-06-02T11:27:22,012,Kanavaranta,011,Unioninkatu,461,342
2021-06-02T11:21:27,2021-06-02T11:37:48,227,Kylävoudintie,237,Aulangontie,3495,976
2021-06-02T11:21:21,2021-06-02T11:37:02,126,Kalasatama (M),111,Esterinportti,3109,938
2021-06-02T11:21:14,2021-06-02T11:24:18,006,Hietalahdentori,069,Kalevankatu,520,179
2021-06-02T11:21:11,2021-06-02T11:36:41,131,Elimäenkatu,016,Liisanpuistikko,3697,930
2021-06-02T11:21:07,2021-06-02T11:27:42,041,Ympyrätalo,020,Kaisaniemenpuisto,1198,391
2021-06-02T11:21:04,2021-06-02T11:28:34,045,Brahen kenttä,037,Töölönkatu,2091,449
2021-06-02T11:21:00,2021-06-02T11:27:21,026,Kamppi (M),005,Sepänkatu,1578,372
2021-06-02T11:20:52,2021-06-02T11:36:00,131,Elimäenkatu,041,Ympyrätalo,2752,904
2021-06-02T11:20:51,2021-06-02T11:39:42,725,Rummunlyöjänkatu,101,Munkkivuoren ostoskeskus,5091,1132
2021-06-02T11:20:51,2021-06-02T11:30:31,019,Rautatientori / itä,031,Marian sairaala,1395,578
2021-06-02T11:20:39,2021-06-02T11:27:36,003,Kapteeninpuistikko,029,Baana,1841,415
2021-06-02T11:20:38,2021-06-02T11:28:23,163,Lehtisaarentie,539,"Aalto-yliopisto (M), Tietotie",2101,460
2021-06-02T11:20:25,2021-06-02T11:40:10,402,Bermudankuja,402,Bermudankuja,1347,1177
2021-06-02T11:20:13,2021-06-02T11:24:12,093,Torpanranta,094,Laajalahden aukio,612,234
2021-06-02T11:20:10,2021-06-02T11:51:00,040,Hakaniemi (M),041,Ympyrätalo,1122,1848
2021-06-02T11:20:03,2021-06-02T11:26:57,252,Humalniementie,251,Laajasalon ostoskeskus,1047,409
2021-06-02T11:20:03,2021-06-02T11:41:01,126,Kalasatama (M),022,Rautatientori / länsi,3843,1252
2021-06-02T11:19:57,2021-06-02T11:30:32,047,Vanha Kauppahalli,041,Ympyrätalo,2695,631
2021-06-02T11:19:51,2021-06-02T11:23:28,335,Kurkimäentie,334,Varustuksentie,757,214
2021-06-02T11:19:45,2021-06-02T11:42:01,711,Kirjurinkuja,557,Louhentori,5080,1331
2021-06-02T11:19:42,2021-06-02T11:25:44,011,Unioninkatu,069,Kalevankatu,1251,356
2021-06-02T11:19:42,2021-06-02T11:36:35,126,Kalasatama (M),138,Arabiankatu,2495,1009
2021-06-02T11:19:34,2021-06-02T11:27:37,237,Aulangontie,234,Otto Brandtin tie,1357,478
2021-06-02T11:19:25,2021-06-02T11:22:59,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",682,209
2021-06-02T11:19:23,2021-06-02T11:33:51,076,Olympiastadion,016,Liisanpuistikko,3479,868
2021-06-02T11:19:17,2021-06-02T11:46:14,113,Pasilan asema,245,Kulosaari (M),4929,1613
2021-06-02T11:19:12,2021-06-02T11:25:46,011,Unioninkatu,069,Kalevankatu,1249,388
2021-06-02T11:19:07,2021-06-02T11:26:19,301,Aurinkotuulenkatu,306,Kauppakeskus Columbus,1161,428
2021-06-02T11:19:01,2021-06-02T11:32:59,063,Jätkäsaarenlaituri,011,Unioninkatu,2832,833
2021-06-02T11:18:49,2021-06-02T11:54:15,104,Kriikunakuja,126,Kalasatama (M),6166,2121
2021-06-02T11:18:47,2021-06-02T11:20:41,547,Jämeräntaival,545,Sähkömies,367,109
2021-06-02T11:18:44,2021-06-02T11:54:22,104,Kriikunakuja,126,Kalasatama (M),6136,2134
2021-06-02T11:18:42,2021-06-02T11:32:39,126,Kalasatama (M),017,Varsapuistikko,3369,834
2021-06-02T11:18:40,2021-06-02T11:28:39,201,Länsisatamankuja,031,Marian sairaala,1870,595
2021-06-02T11:18:38,2021-06-02T11:23:51,214,Valimon asema,208,Valimotie,892,310
2021-06-02T11:18:37,2021-06-02T18:18:07,240,Viikin normaalikoulu,236,Hernepellontie,0,25165
2021-06-02T11:18:34,2021-06-02T11:34:39,587,Hauenkallio,517,Länsituuli,3444,960
2021-06-02T11:18:06,2021-06-02T11:21:51,032,Eläinmuseo,019,Rautatientori / itä,699,219
2021-06-02T11:17:56,2021-06-02T11:24:12,051,Itälahdenkatu,052,Heikkilänaukio,1628,375
2021-06-02T11:17:45,2021-06-02T11:25:35,010,Kasarmitori,015,Ritarikatu,1053,465
2021-06-02T11:17:44,2021-06-02T12:41:28,161,Eteläesplanadi,001,Kaivopuisto,1351,548
2021-06-02T11:17:44,2021-06-02T11:25:30,018,Porthania,040,Hakaniemi (M),1065,462
2021-06-02T11:17:36,2021-06-02T11:30:16,133,Paavalinpuisto,144,Käpyläntie,2242,756
2021-06-02T11:17:34,2021-06-02T11:25:28,077,Nordenskiöldinaukio,033,Kauppakorkeakoulu,1915,469
2021-06-02T11:17:27,2021-06-02T11:24:16,134,Haukilahdenkatu,126,Kalasatama (M),1417,404
2021-06-02T11:17:22,2021-06-02T11:24:41,006,Hietalahdentori,064,Tyynenmerenkatu,1155,434
2021-06-02T11:17:18,2021-06-02T11:39:54,244,Relanderinaukio,044,Sörnäinen (M),3408,1344
2021-06-02T11:17:15,2021-06-02T11:34:25,085,Jalavatie,024,Mannerheimintie,3212,1026
2021-06-02T11:17:12,2021-06-02T11:26:26,016,Liisanpuistikko,041,Ympyrätalo,1562,550
2021-06-02T11:17:07,2021-06-02T11:24:37,066,Ehrenströmintie,065,Hernesaarenranta,1880,448
2021-06-02T11:17:06,2021-06-02T11:20:29,575,Tontunmäentie,573,Urheilupuisto (M),586,200
2021-06-02T11:17:05,2021-06-02T11:21:36,900,Orionintie,573,Urheilupuisto (M),849,266
2021-06-02T11:17:05,2021-06-02T11:21:44,553,Metsänneidonpolku,539,"Aalto-yliopisto (M), Tietotie",1080,275
2021-06-02T11:16:48,2021-06-02T11:25:19,523,Ahertajantie,545,Sähkömies,2533,513
2021-06-02T11:16:47,2021-06-02T11:23:46,111,Esterinportti,116,Linnanmäki,1977,416
2021-06-02T11:16:46,2021-06-02T11:24:54,076,Olympiastadion,149,Toinen linja,1402,484
2021-06-02T11:16:45,2021-06-02T11:26:19,122,Lintulahdenkatu,022,Rautatientori / länsi,2254,570
2021-06-02T11:16:39,2021-06-02T11:20:03,105,Tilkantori,096,Huopalahdentie,775,199
2021-06-02T11:16:38,2021-06-02T11:47:17,257,Margareetankuja,235,Katariina Saksilaisen katu,6722,1835
2021-06-02T11:16:34,2021-06-02T11:29:38,080,Jäähalli,063,Jätkäsaarenlaituri,3518,779
2021-06-02T11:16:32,2021-06-02T11:32:55,044,Sörnäinen (M),078,Messeniuksenkatu,3119,963
